PRODUCT,BRAND,CATEGORY,CAPACITY,ITEM_CODE,ITEM_DESC,PART_NO,UOM,OPEN_QTY,RECEIVED_QTY,ISSUE_QTY,BAL_QTY,AMOUNT
Audio Video,EcoStar,LED TV,"24"" LED TV",01010204030005,Remote control L410 / U520 SERIES (New)7601-C1A062-0134ESA3,7601-C1A062-0134ESA3,PCS,1,0,0,1,354.68
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207220002,Main Board 32U568 17.11.TPVST0062,17.11.TPVST0062,PCS,0,1,0,1,2004.03
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207230033,32 Inches Innolux V320BJ8-Q01(C1) Glassboard 32U571/ 32U860 / 32U871  7432-320IN6-3301M001-F,7432-320IN6-3301M001-F,PCS,40,4,4,40,632666.42
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207350007,Remote control 7601-31A062-0244ESA1 55U571/32u571/43u571/49u571,7601-31A062-0244ESA1,PCS,0,1,0,1,139.25
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207370007,8O 10W Speaker 32U860 7711-A6828A-52101024,7711-A6828A-52101024,PCS,10,0,0,10,3125.73
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207390008, T-CON board 9043-112000-KV564011 32U574,9043-112000-KV564011,PCS,5,0,0,5,5106.97
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207400016,Main board CX-32U861/62 9011-11M235-CB3J3A81,9011-11M235-CB3J3A81,PCS,1,0,0,1,12753.9
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207480001,Main Board CX-32U871 9011-11M235-CN304151,9011-11M235-CN304151,PCS,1,2,2,1,8873.47
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207480012,Main board CX-32U871 9011-11M235-CN3042S1,9011-11M235-CN3042S1,PCS,10,1,0,11,115876.59
Audio Video,EcoStar,LED TV,"32"" LED TV",01010207510005,Bluetooth voice Remote CX-32Q874 (59434) (G-3.0) 7601-ZS0820-0044ESA1,7601-ZS0820-0044ESA1,PCS,0,5,1,4,4154.31
Audio Video,EcoStar,LED TV,"40"" LED TV",01010209140002,MAIN BOARD CX-40U571P 9011-115A3A-A63A2201,9011-115A3A-A63A2201,PCS,0,3,2,1,3463.37
Audio Video,EcoStar,LED TV,"40"" LED TV",01010209260001,Main Board CX-40U871 9011-11M235-CN304141,9011-11M235-CN304141,PCS,0,2,0,2,15547.92
Audio Video,EcoStar,LED TV,"40"" LED TV",01010209260009,Main board CX-40U871 9011-11M235-CN3042Q1,9011-11M235-CN3042Q1,PCS,8,0,0,8,83968.95
Audio Video,EcoStar,LED TV,"55"" LED TV",01010213200001,M4F1 MT9612IAAT/EBZA Main board CX-55UD963 / 55QD970  9011-114F35-M23030E1,9011-114F35-M23030E1,PCS,2,0,0,2,42821.01
Audio Video,EcoStar,LED TV,"65"" LED TV",01010214130002,M4F1 MT9612IAAT/EBZA Main board CX-50UD962 / CX-65UD963 / 65QD870 9011-114F35-M2303101,9011-114F35-M2303101,PCS,2,0,0,2,42276.05
Audio Video,EcoStar,LED TV,"43"" LED TV",01010215050005,LED Light Bar 43U573 31.11.043000019,31.11.043000019,PCS,-3,0,0,-3,-128.41
Audio Video,EcoStar,LED TV,"43"" LED TV",01010215100007,M4F1 MT9612IAAT/EBZA Main board CX-43UD962 / CX-43UD963 9011-114F35-M23030D1,9011-114F35-M23030D1,PCS,4,0,0,4,83805.64
Audio Video,EcoStar,LED TV,"75"" LED TV",01010218040001,MT9632EAATCB Mainboard CX-75UD962  9011-118E35-M2302021,9011-118E35-M2302021,PCS,3,0,0,3,43025.44
Audio Video,EcoStar,Microwave Oven,Models,01010601010002,MEGNITRON em-2021wsm C082021WSM20LN9,C082021WSM20LN9,PCS,0,1,0,1,1353.19
Audio Video,EcoStar,Microwave Oven,Models,01010601010011,Timer - Timer  C162021WSM20LN9  EM-2021WSM, C162021WSM20LN9,PCS,0,1,0,1,540.86
Audio Video,EcoStar,Microwave Oven,Models,01010601100003,Bgrade Sets EM-2023BSM 2023BSM-601100003,2023BSM-601100003,PCS,0,1,0,1,3944
Audio Video,EcoStar,Microwave Oven,Models,01010601140002,Mice Plate  12570000001036  EM-2502SDG,12570000001036,PCS,5,0,0,5,1000
Audio Video,EcoStar,Microwave Oven,Models,01010601140005,Fuse  17470000009122  EM-2502SDG,17470000009122,PCS,0,3,0,3,450
Audio Video,EcoStar,Microwave Oven,Models,01010601150002,Mice Plate  12570000001034  EM-2023WSM,12570000001034,PCS,4,0,0,4,3600
Audio Video,EcoStar,Microwave Oven,Models,01010601150009,H.V.Diode  17470000008946  EM-2023WSM,17470000008946,PCS,0,6,0,6,607.89
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101010010,Hot Tank Assy WD300-HOTTANK  F / WD-350F,WD300-HOTTANK,PCS,1,10,10,1,4435.53
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101010036,Heating Switch RED WD-300F/350FC/FS (36090) WD-30036090,WD-30036090,PCS,1,0,0,1,58.58
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101010037,Cooling switch GREEN WD-300F/350FC/FS (36089) WD-30036089,WD-30036089,PCS,1,0,0,1,58.58
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101010040,WD Compressor WD-300F / WD-350F /WD-450F  QD36LWL,QD36LWL,PCS,0,7,6,1,9458.06
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101030005,Cool Water Tap WD-350 WD350-COOLTAP,WD350-COOLTAP,PCS,5,1,2,4,1209.03
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101030010,Middle Door Hing WD-350 25014350, 25014350,PCS,20,0,0,20,653.76
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101030012,Hot Water Tap WD-350FS WD-5012141718,WD-5012141718,PCS,5,1,2,4,976.43
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101040007,upside door hinge pin WD-350FC/FS(44515)  24012350,24012350,PCS,19,0,0,19,505.16
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101040008,downside hinge pin WD-350FC/FS (44516) 24013350,24013350,PCS,20,0,0,20,528
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101050008,Smart Block WD-300 1284000755,1284000755,PCS,0,26,25,1,12491.63
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101050011,Cool Water Tap WD-300F WD300-COOLTAP,WD300-COOLTAP,PCS,10,113,119,4,29861.79
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101060011,Water Pan WD-351FB (37930) WD351FB-00001,WD351FB-00001,PCS,1,0,0,1,169.8
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101080018,Front Decration Bar WD-450F WD450F000001,WD450F000001,PCS,1,0,0,1,339
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101080020,Door Liner with Magnet Gaskit WD-450FWD450F000003,WD450F000003,PCS,1,0,0,1,339
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101080021,Cabinet Shelf WD-450F WD450F000004,WD450F000004,PCS,1,0,0,1,169.8
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101080024,Indicator Panel WD-450F WD450F000007,WD450F000007,PCS,1,0,0,1,339
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101080025,Safety Lock WD-450F WD450F000008,WD450F000008,PCS,1,0,0,1,33.96
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101080026,Water Drip Tray WD-450F WD450F000009,WD450F000009,PCS,1,0,0,1,271
Home Appliances,EcoStar,Water Dispensor,Capacity,03020101100006,Front Cover 3 Tap WD-302F (56679) WD302F-00002,WD302F-00002,PCS,0,2,0,2,1358.4
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202030133,Twist Spring WM12-700 302920870001,302920870001,PCS,0,18,12,6,300
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040006,Soft Press PCB EW-F1202DC / EW-F9502DC 3A.HK680-P,3A.HK680-P,PCS,0,4,3,1,14510.79
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040011,690 Gear Box EW-F1202DC 3W.JS007,3W.JS007,PCS,0,4,3,1,16000
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040018,Hanger-Green or Yellow (Front) EW-F1202DC / EW-F9502DC / EW-F9504DC 3W.JU010,3W.JU010,PCS,2,16,15,3,-126.27
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040020,Water Level Sensor EW-F1202DC 3D.HM007,3D.HM007,PCS,0,12,8,4,6322.25
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040027,Filter Board EW-F1202DC/T680P EW-F9502DC 2Q.CQ69010,2Q.CQ69010,PCS,0,1,0,1,64.53
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040030,Water Inlet Hose EW-F1202DC T680P EW-F9502DC 3G.GA002A,3G.GA002A,PCS,10,2,2,10,4170
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040037,Capacitor 15μF(with Inductance) EW-F1202DC 3D.HF132,3D.HF132,PCS,0,8,6,2,1733
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040038,Rat Board EW-F1202DC 2Q.CA136.D,2Q.CA136.D,PCS,2,0,0,2,260
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040047,Wash Motor 200W EW-F1202DC 3D.HX0101A200-19(L48),3D.HX0101A200-19(L48),PCS,1,5,4,2,13725.65
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202040061,690P Wire Harness(Press) EW-F1202DC (58088) 3A.HT690-P,3A.HT690-P,PCS,0,2,0,2,2902.69
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202050002,Top Cover / Ring for Water Barral EW-F9502DC / EW-F9504DC(55274) QQ028,QQ028,PCS,0,4,2,2,2809.26
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202050022,Cover of Detergent Box EW-F9504DC / EW-F9502DC / EW-F1204DC 2Q.AKM004.BXDJS,2Q.AKM004.BXDJS,PCS,5,0,0,5,605
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202060005,Smart Touched IMD Panel  EW-F9504DC 3Q.MK680T,3Q.MK680T,PCS,0,5,0,5,5469.73
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202060006,Double Inlet Valve EW-F9504DC 3D.PEL003A,3D.PEL003A,PCS,0,5,2,3,6643.42
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202060008,V-Belt:O-485E EW-F9504DC 3J.KD002A,3J.KD002A,PCS,10,0,0,10,1490
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202070012,Smart Touched PCB EW-F1204DC 3A.HK680T,3A.HK680T,PCS,1,16,16,1,52989.01
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202070014,Base of spin-tub EW-F1204DC / EW-F1202DC 2Q.CQ6907,2Q.CQ6907,PCS,5,0,0,5,4995
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202080002,"WATER INLET VALVE EW-F9502DC,F1202DC 3D.PEL003",3D.PEL003,PCS,3,1,3,1,2504.27
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202080004,Power cord(3x0.75mm²/European plug) EW-F9502DC 3D.HJ021C,3D.HJ021C,PCS,5,4,8,1,1017
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202080005,Left Damper base EW-F9502DC / EW-F9504DC / EW-F1202DC / EW-F1204DC 2Q.CQ69018,2Q.CQ69018,PCS,0,6,2,4,226
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202080006,Right Damper base EW-F9502DC / EW-F9504DC / EW-F1202DC / EW-F1204DC 2Q.CQ69019,2Q.CQ69019,PCS,0,5,4,1,19
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202080007,135 Right Damper EW-F9502DC  3W.JS6802,3W.JS6802,PCS,0,5,0,5,2254.56
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202080008,135 left Damper EW-F9502DC 3W.JS6801,3W.JS6801,PCS,0,11,6,5,2118.24
Home Appliances,EcoStar,Washing Machine,Fully Automatic,03020202080019,680 Gimbals Assy EW-F9502DC 8Q.TY05003G,8Q.TY05003G,PCS,3,0,0,3,2901.6
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203040028,Bgrade ON/OFF Button WM12-500 03020203040028,03020203040028,PCS,0,3,2,1,150
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203090001,SPIN TIMER EW-T1002JB / EW-T1004MG / EW-S1002WW 3D.HE008C,3D.HE008C,PCS,30,11,14,27,7124.29
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203090011,Spin seal WM EW-T1004MG / EW-T1002JB 3J.KA001,3J.KA001,PCS,2,39,36,5,5630.14
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203090023,Wash Timer  EW-T1002JB/ EW-T1004 3D.HE002C/ 3D.ECOSTAR001,3D.HE002C,PCS,0,17,6,11,11289.78
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203100015,Wash timer EW-T1004MG / EW-T1002JB 3D.ECOSTAR001,3D.ECOSTAR001,PCS,7,10,14,3,2791.07
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203100022,Brake strip:388mm EW-T1004MG / EW-T1002JB 3W.JN034,3W.JN034,PCS,1,8,8,1,331.8
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203100031,86-10 Funnel of water inlet EW-T1004MG / EW-T1002JB 2P.DG048.A,2P.DG048.A,PCS,10,0,0,10,130.2
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203100034,Drain ASSY of 65 EW-T1004MG / EW-T1002JB 8P.TY01010,8P.TY01010,PCS,0,2,0,2,840.72
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203100035,Spring foot ASSY EW-T1004MG / EW-T1002JB 8P.TY03001A,8P.TY03001A,PCS,0,12,10,2,611.34
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203100038,T350 right frame hinge EW-T1004MG / EW-T1002JB 2P.DI062.A,2P.DI062.A,PCS,10,1,7,4,-42.66
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203100042,Shock Reducer EW-T1004MG/EW-T1002JB 3J.KE010,3J.KE010,PCS,10,0,0,10,55.8
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203100054,BODY TWIN TUB (EW-T1004MG / EW-T1002JB)  (60035) 509QQ023,509QQ023,PCS,0,1,0,1,4213
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203120005,Brake strip L=622 EW-S1002GW 3W.JN041,3W.JN041,PCS,0,7,0,7,195.21
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203130001,Extension Feet-1 (Rear Left) EW-W1001GW/EW-W1201GW/EW-S1001GW QQ081,QQ081,PCS,2,1,2,1,150
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203130002,Extension Feet-2 (Rear Right) EW-W1001GW/EW-W1201GW/EW-S1001GS QQ082,QQ082,PCS,2,1,2,1,150
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203130004,Extension Feet-4 (Front Right) EW-W1001GW/EW-E1201GW/EW-S1001GW QQ084,QQ084,PCS,2,1,2,1,150
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203140008,"Balance Ring of Sipin Tub S1001GW,S1002WW,T1004MG,T1002JB (54817) QQ052",QQ052,PCS,0,3,2,1,200
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203150001,Gear box with Plastic pully (5:1/T707) EW-W1002GW / EW-W1202GW 3P.JS001B,3P.JS001B,PCS,1,5,4,2,3146.91
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203150003,Filter EW-W1002GW 2P.DC012.A,2P.DC012.A,PCS,5,0,0,5,84.02
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203150008,Wash timer with buzzer funtion EW-W1002GW 3D.HE038E-9366,3D.HE038E-9366,PCS,0,5,0,5,4483.43
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203150020,V-Belt:O-695 EW-W1002GW 3J.KD006C,3J.KD006C,PCS,5,0,0,5,1250
Home Appliances,EcoStar,Washing Machine,Semi Automatic,03020203170001,WASH MOTOR 200W EW-W1202GW 3D.HY0201A200-18/3D.HX0201A200-18(L42),3D.HY0201A200-18,PCS,0,6,4,2,7804.87
Home Appliances,EcoStar,Spinner,Models,03020301040006,ASSY of Brake EW-S1002GW 3W.JM002F,3W.JM002F,PCS,0,13,12,1,3379.59
Home Appliances,EcoStar,Split AC,12000 BTU,03020401010002,Single Phase Synchronous motor ES-12AR01W 11002012030932,11002012030932,PCS,1,0,0,1,1928.82
Home Appliances,EcoStar,Split AC,12000 BTU,03020401010006,Indoor Main control board subassembly    ES-12AR01W 17122000020110,17122000020110,PCS,0,1,0,1,2636.75
Home Appliances,EcoStar,Split AC,12000 BTU,03020401010027,Evaporators ES-12AR01W 15822000008189,15822000008189,PCS,0,8,2,6,57260.94
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050001,Air Louver 12DU01W / ES-12DU02 / 12EM01W 11320005000405,11320005000405,PCS,0,5,0,5,2553.95
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050002,display board  12DU01W 12EM01W 18DU01W 18EM01W 11222014000608,11222014000608,PCS,3,8,10,1,504.73
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050003,Indoor Fan motor 12DU01W 12EM01W 11230003000151,11230003000151,PCS,1,0,0,1,4642
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050004,Stepping motor 12DU01W 12EM01W 11230002000086,11230002000086,PCS,0,5,0,5,1684
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050008,Temperature Sensor 12DU01W 12EM01W 18DU01W 18EM01W 11329013000103,11329013000103,PCS,0,148,50,98,33147.68
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050016,capillary assembly  12DU01W 12EM01W 11225506002105,11225506002105,PCS,1,2,0,3,1604.82
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050018,Outdoor Temperature Sensor (55309) ES-18AR02 / 18NV02WT3 / 12DU01W 12EM01W 18DU01W 18EM01W ES-18DU02 11329013000118,11329013000118,PCS,9,52,36,25,12518.89
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050022,4 Way Valve Tubing Assembly 12DU01W/12EM01W 11225516001229,11225516001229,PCS,2,11,11,2,18634.69
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050032,Remote Control ES-12DU01W (56048) 13222041000116,13222041000116,PCS,0,1,0,1,863.07
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050034,STEPPER MOTOR  24BYJ48*150*XH-5 RED ES-12DU01W 11230002000068,11230002000068,PCS,9,0,0,9,3829.58
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050035,Evaporator Assy ES-12DU01 / ES-12EM01 ES11202526,ES11202526,PCS,0,155,136,19,-228857.68
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050038,Outdoor Controller Assembly 13222004000401 ES-12DU01WG PCB 11222031001269,13222004000401,PCS,1,0,0,1,16907.74
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050039,Outdoor Main Controller ES-12DU01WG (57469) 13222004000447,13222004000447,PCS,4,13,6,11,101010.81
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050041,Indoor Main Controller ES-12DU01WG 13222002005457,13222002005457,PCS,6,16,13,9,55705.73
Home Appliances,EcoStar,Split AC,12000 BTU,03020401050047,Motor Cover 56333 ES-12DU01W 13320052000006,13320052000006,PCS,0,6,0,6,810
Home Appliances,EcoStar,Split AC,12000 BTU,03020401060004,OD Main Board ES-12EM01W / ES-12DU01W (56972) 11222031001349,11222031001349,PCS,3,25,16,12,173592.64
Home Appliances,EcoStar,Split AC,12000 BTU,03020401070002,Evaporator Assembly ES-12PR02WT3 13224003002560,13224003002560,PCS,0,16,12,4,62434.69
Home Appliances,EcoStar,Split AC,12000 BTU,03020401070003,Outdoor Main Controller Assembly (59545) ES-12PR02WT3 13222004000589,13222004000589,PCS,0,2,0,2,21430.68
Home Appliances,EcoStar,Split AC,12000 BTU,03020401070005,Capillary Assembly ES-12PR02WT3 11225506002261,11225506002261,PCS,0,2,1,1,898.84
